neighborhood,time
"Elyria Swansea",062006
"Elyria Swansea",7122005
"Elyria Swansea",062005
"Five Points",712
"Five Points",06
"Five Points",7122010
"Five Points",062010
"Five Points",7122009
"Five Points",062009
"Five Points",7122008
"Five Points",062008
"Five Points",7122007
"Five Points",062007
"Five Points",7122006
"Five Points",062006
"Five Points",7122005
"Five Points",062005
"Fort Logan",712
"Fort Logan",06
"Fort Logan",7122010
"Fort Logan",062010
"Fort Logan",7122009
"Fort Logan",062009
"Fort Logan",7122008
"Fort Logan",062008
"Fort Logan",7122007
"Fort Logan",062007
"Fort Logan",7122006
"Fort Logan",062006
"Fort Logan",7122005
"Fort Logan",062005
"Gateway / Green Valley Ranch",712
"Gateway / Green Valley Ranch",06
"Gateway / Green Valley Ranch",7122010
"Gateway / Green Valley Ranch",062010
"Gateway / Green Valley Ranch",7122009
"Gateway / Green Valley Ranch",062009
"Gateway / Green Valley Ranch",7122008
"Gateway / Green Valley Ranch",062008
"Gateway / Green Valley Ranch",7122007
"Gateway / Green Valley Ranch",062007
"Gateway / Green Valley Ranch",7122006
"Gateway / Green Valley Ranch",062006
"Gateway / Green Valley Ranch",7122005
"Gateway / Green Valley Ranch",062005
Globeville,712
Globeville,06
Globeville,7122010
Globeville,062010
Globeville,7122009
Globeville,062009
Globeville,7122008
Globeville,062008
Globeville,7122007
Globeville,062007
Globeville,7122006
Globeville,062006
Globeville,7122005
Globeville,062005
Goldsmith,712
Goldsmith,06
Goldsmith,7122010
Goldsmith,062010
Goldsmith,7122009
Goldsmith,062009
Goldsmith,7122008
Goldsmith,062008
Goldsmith,7122007
Goldsmith,062007
Goldsmith,7122006
Goldsmith,062006
Goldsmith,7122005
Goldsmith,062005
Hale,712
Hale,06
Hale,7122010
Hale,062010
Hale,7122009
Hale,062009
Hale,7122008
Hale,062008
Hale,7122007
Hale,062007
Hale,7122006
Hale,062006
Hale,7122005
Hale,062005
Hampden,712
Hampden,06
Hampden,7122010
Hampden,062010
Hampden,7122009
Hampden,062009
Hampden,7122008
Hampden,062008
Hampden,7122007
Hampden,062007
Hampden,7122006
Hampden,062006
Hampden,7122005
Hampden,062005
"Hampden South",712
"Hampden South",06
"Hampden South",7122010
"Hampden South",062010
"Hampden South",7122009
"Hampden South",062009
"Hampden South",7122008
"Hampden South",062008
"Hampden South",7122007
"Hampden South",062007
"Hampden South",7122006
"Hampden South",062006
"Hampden South",7122005
"Hampden South",062005
"Harvey Park",712
"Harvey Park",06
"Harvey Park",7122010
"Harvey Park",062010
"Harvey Park",7122009
"Harvey Park",062009
"Harvey Park",7122008
"Harvey Park",062008
"Harvey Park",7122007
"Harvey Park",062007
"Harvey Park",7122006
"Harvey Park",062006
"Harvey Park",7122005
"Harvey Park",062005
"Harvey Park South",712
"Harvey Park South",06
"Harvey Park South",7122010
"Harvey Park South",062010
"Harvey Park South",7122009
"Harvey Park South",062009
"Harvey Park South",7122008
"Harvey Park South",062008
"Harvey Park South",7122007
"Harvey Park South",062007
"Harvey Park South",7122006
"Harvey Park South",062006
"Harvey Park South",7122005
"Harvey Park South",062005
Highland,712
Highland,06
Highland,7122010
Highland,062010
Highland,7122009
Highland,062009
Highland,7122008
Highland,062008
Highland,7122007
Highland,062007
Highland,7122006
Highland,062006
Highland,7122005
Highland,062005
Hilltop,712
Hilltop,06
Hilltop,7122010
Hilltop,062010
Hilltop,7122009
Hilltop,062009
Hilltop,7122008
Hilltop,062008
Hilltop,7122007
Hilltop,062007
Hilltop,7122006
Hilltop,062006
Hilltop,7122005
Hilltop,062005
"Indian Creek",712
"Indian Creek",06
"Indian Creek",7122010
"Indian Creek",062010
"Indian Creek",7122009
"Indian Creek",062009
"Indian Creek",7122008
"Indian Creek",062008
"Indian Creek",7122007
"Indian Creek",062007
"Indian Creek",7122006
"Indian Creek",062006
"Indian Creek",7122005
"Indian Creek",062005
"Jefferson Park",712
"Jefferson Park",06
"Jefferson Park",7122010
"Jefferson Park",062010
"Jefferson Park",7122009
"Jefferson Park",062009
"Jefferson Park",7122008
"Jefferson Park",062008
"Jefferson Park",7122007
"Jefferson Park",062007
"Jefferson Park",7122006
"Jefferson Park",062006
"Jefferson Park",7122005
"Jefferson Park",062005
Kennedy,712
Kennedy,06
Kennedy,7122010
Kennedy,062010
Kennedy,7122009
Kennedy,062009
Kennedy,7122008
Kennedy,062008
Kennedy,7122007
Kennedy,062007
Kennedy,7122006
Kennedy,062006
Kennedy,7122005
Kennedy,062005
"Lincoln Park",712
"Lincoln Park",06
"Lincoln Park",7122010
"Lincoln Park",062010
"Lincoln Park",7122009
"Lincoln Park",062009
"Lincoln Park",7122008
"Lincoln Park",062008
"Lincoln Park",7122007
"Lincoln Park",062007
"Lincoln Park",7122006
"Lincoln Park",062006
"Lincoln Park",7122005
"Lincoln Park",062005
"Lowry Field",712
"Lowry Field",06
"Lowry Field",7122010
"Lowry Field",062010
"Lowry Field",7122009
"Lowry Field",062009
"Lowry Field",7122008
"Lowry Field",062008
"Lowry Field",7122007
"Lowry Field",062007
"Lowry Field",7122006
"Lowry Field",062006
"Lowry Field",7122005
"Lowry Field",062005
"Mar Lee",712
"Mar Lee",06
"Mar Lee",7122010
"Mar Lee",062010
"Mar Lee",7122009
"Mar Lee",062009
"Mar Lee",7122008
"Mar Lee",062008
"Mar Lee",7122007
"Mar Lee",062007
"Mar Lee",7122006
"Mar Lee",062006
"Mar Lee",7122005
"Mar Lee",062005
Marston,712
Marston,06
Marston,7122010
Marston,062010
Marston,7122009
Marston,062009
Marston,7122008
Marston,062008
Marston,7122007
Marston,062007
Marston,7122006
Marston,062006
Marston,7122005
Marston,062005
Montbello,712
Montbello,06
Montbello,7122010
Montbello,062010
Montbello,7122009
Montbello,062009
Montbello,7122008
Montbello,062008
Montbello,7122007
Montbello,062007
Montbello,7122006
Montbello,062006
Montbello,7122005
Montbello,062005
Montclair,712
Montclair,06
Montclair,7122010
Montclair,062010
Montclair,7122009
Montclair,062009
Montclair,7122008
Montclair,062008
Montclair,7122007
Montclair,062007
Montclair,7122006
Montclair,062006
Montclair,7122005
Montclair,062005
"North Capitol Hill",712
"North Capitol Hill",06
"North Capitol Hill",7122010
"North Capitol Hill",062010
"North Capitol Hill",7122009
"North Capitol Hill",062009
"North Capitol Hill",7122008
"North Capitol Hill",062008
"North Capitol Hill",7122007
"North Capitol Hill",062007
"North Capitol Hill",7122006
"North Capitol Hill",062006
"North Capitol Hill",7122005
"North Capitol Hill",062005
"North Park Hill",712
"North Park Hill",06
"North Park Hill",7122010
"North Park Hill",062010
"North Park Hill",7122009
"North Park Hill",062009
"North Park Hill",7122008
"North Park Hill",062008
"North Park Hill",7122007
"North Park Hill",062007
"North Park Hill",7122006
"North Park Hill",062006
"North Park Hill",7122005
"North Park Hill",062005
"Northeast Park Hill",712
"Northeast Park Hill",06
"Northeast Park Hill",7122010
"Northeast Park Hill",062010
"Northeast Park Hill",7122009
"Northeast Park Hill",062009
"Northeast Park Hill",7122008
"Northeast Park Hill",062008
"Northeast Park Hill",7122007
"Northeast Park Hill",062007
"Northeast Park Hill",7122006
"Northeast Park Hill",062006
"Northeast Park Hill",7122005
"Northeast Park Hill",062005
Overland,712
Overland,06
Overland,7122010
Overland,062010
Overland,7122009
Overland,062009
Overland,7122008
Overland,062008
Overland,7122007
Overland,062007
Overland,7122006
Overland,062006
Overland,7122005
Overland,062005
"Platt Park",712
"Platt Park",06
"Platt Park",7122010
"Platt Park",062010
"Platt Park",7122009
"Platt Park",062009
"Platt Park",7122008
"Platt Park",062008
"Platt Park",7122007
"Platt Park",062007
"Platt Park",7122006
"Platt Park",062006
"Platt Park",7122005
"Platt Park",062005
Regis,712
Regis,06
Regis,7122010
Regis,062010
Regis,7122009
Regis,062009
Regis,7122008
Regis,062008
Regis,7122007
Regis,062007
Regis,7122006
Regis,062006
Regis,7122005
Regis,062005
Rosedale,712
Rosedale,06
Rosedale,7122010
Rosedale,062010
Rosedale,7122009
Rosedale,062009
Rosedale,7122008
Rosedale,062008
Rosedale,7122007
Rosedale,062007
Rosedale,7122006
Rosedale,062006
Rosedale,7122005
Rosedale,062005
"Ruby Hill",712
"Ruby Hill",06
"Ruby Hill",7122010
"Ruby Hill",062010
"Ruby Hill",7122009
"Ruby Hill",062009
"Ruby Hill",7122008
"Ruby Hill",062008
"Ruby Hill",7122007
"Ruby Hill",062007
"Ruby Hill",7122006
"Ruby Hill",062006
"Ruby Hill",7122005
"Ruby Hill",062005
Skyland,712
Skyland,06
Skyland,7122010
Skyland,062010
Skyland,7122009
Skyland,062009
Skyland,7122008
Skyland,062008
Skyland,7122007
Skyland,062007
Skyland,7122006
Skyland,062006
Skyland,7122005
Skyland,062005
"Sloan Lake",712
"Sloan Lake",06
"Sloan Lake",7122010
"Sloan Lake",062010
"Sloan Lake",7122009
"Sloan Lake",062009
"Sloan Lake",7122008
"Sloan Lake",062008
"Sloan Lake",7122007
"Sloan Lake",062007
"Sloan Lake",7122006
"Sloan Lake",062006
"Sloan Lake",7122005
"Sloan Lake",062005
"South Park Hill",712
"South Park Hill",06
"South Park Hill",7122010
"South Park Hill",062010
"South Park Hill",7122009
"South Park Hill",062009
"South Park Hill",7122008
"South Park Hill",062008
"South Park Hill",7122007
"South Park Hill",062007
"South Park Hill",7122006
"South Park Hill",062006
"South Park Hill",7122005
"South Park Hill",062005
"Southmoor Park",712
"Southmoor Park",06
"Southmoor Park",7122010
"Southmoor Park",062010
"Southmoor Park",7122009
"Southmoor Park",062009
"Southmoor Park",7122008
"Southmoor Park",062008
"Southmoor Park",7122007
"Southmoor Park",062007
"Southmoor Park",7122006
"Southmoor Park",062006
"Southmoor Park",7122005
"Southmoor Park",062005
Speer,712
Speer,06
Speer,7122010
Speer,062010
Speer,7122009
Speer,062009
Speer,7122008
Speer,062008
Speer,7122007
Speer,062007
Speer,7122006
Speer,062006
Speer,7122005
Speer,062005
Stapleton,712
Stapleton,06
Stapleton,7122010
Stapleton,062010
Stapleton,7122009
Stapleton,062009
Stapleton,7122008
Stapleton,062008
Stapleton,7122007
Stapleton,062007
Stapleton,7122006
Stapleton,062006
Stapleton,7122005
Stapleton,062005
"Sun Valley",712
"Sun Valley",06
"Sun Valley",7122010
"Sun Valley",062010
"Sun Valley",7122009
"Sun Valley",062009
"Sun Valley",7122008
"Sun Valley",062008
"Sun Valley",7122007
"Sun Valley",062007
"Sun Valley",7122006
"Sun Valley",062006
"Sun Valley",7122005
"Sun Valley",062005
Sunnyside,712
Sunnyside,06
Sunnyside,7122010
Sunnyside,062010
Sunnyside,7122009
Sunnyside,062009
Sunnyside,7122008
Sunnyside,062008
Sunnyside,7122007
Sunnyside,062007
Sunnyside,7122006
Sunnyside,062006
Sunnyside,7122005
Sunnyside,062005
"Union Station",712
"Union Station",06
"Union Station",7122010
"Union Station",062010
"Union Station",7122009
"Union Station",062009
"Union Station",7122008
"Union Station",062008
"Union Station",7122007
"Union Station",062007
"Union Station",7122006
"Union Station",062006
"Union Station",7122005
"Union Station",062005
University,712
University,06
University,7122010
University,062010
University,7122009
University,062009
University,7122008
University,062008
University,7122007
University,062007
University,7122006
University,062006
University,7122005
University,062005
"University Hills",712
"University Hills",06
"University Hills",7122010
"University Hills",062010
"University Hills",7122009
"University Hills",062009
"University Hills",7122008
"University Hills",062008
"University Hills",7122007
"University Hills",062007
"University Hills",7122006
"University Hills",062006
"University Hills",7122005
"University Hills",062005
"University Park",712
"University Park",06
"University Park",7122010
"University Park",062010
"University Park",7122009
"University Park",062009
"University Park",7122008
"University Park",062008
"University Park",7122007
"University Park",062007
"University Park",7122006
"University Park",062006
"University Park",7122005
"University Park",062005
Valverde,712
Valverde,06
Valverde,7122010
Valverde,062010
Valverde,7122009
Valverde,062009
Valverde,7122008
Valverde,062008
Valverde,7122007
Valverde,062007
Valverde,7122006
Valverde,062006
Valverde,7122005
Valverde,062005
"Villa Park",712
"Villa Park",06
"Villa Park",7122010
"Villa Park",062010
"Villa Park",7122009
"Villa Park",062009
"Villa Park",7122008
"Villa Park",062008
"Villa Park",7122007
"Villa Park",062007
"Villa Park",7122006
"Villa Park",062006
"Villa Park",7122005
"Villa Park",062005
"Virginia Village",712
"Virginia Village",06
"Virginia Village",7122010
"Virginia Village",062010
"Virginia Village",7122009
"Virginia Village",062009
"Virginia Village",7122008
"Virginia Village",062008
"Virginia Village",7122007
"Virginia Village",062007
"Virginia Village",7122006
"Virginia Village",062006
"Virginia Village",7122005
"Virginia Village",062005
"Washington Park",712
"Washington Park",06
"Washington Park",7122010
"Washington Park",062010
"Washington Park",7122009
"Washington Park",062009
"Washington Park",7122008
"Washington Park",062008
"Washington Park",7122007
"Washington Park",062007
"Washington Park",7122006
"Washington Park",062006
"Washington Park",7122005
"Washington Park",062005
"Washington Park West",712
"Washington Park West",06
"Washington Park West",7122010
"Washington Park West",062010
"Washington Park West",7122009
"Washington Park West",062009
"Washington Park West",7122008
"Washington Park West",062008
"Washington Park West",7122007
"Washington Park West",062007
"Washington Park West",7122006
"Washington Park West",062006
"Washington Park West",7122005
"Washington Park West",062005
"Washington Virginia Vale",712
"Washington Virginia Vale",06
"Washington Virginia Vale",7122010
"Washington Virginia Vale",062010
"Washington Virginia Vale",7122009
"Washington Virginia Vale",062009
"Washington Virginia Vale",7122008
"Washington Virginia Vale",062008
"Washington Virginia Vale",7122007
"Washington Virginia Vale",062007
"Washington Virginia Vale",7122006
"Washington Virginia Vale",062006
"Washington Virginia Vale",7122005
"Washington Virginia Vale",062005
Wellshire,712
Wellshire,06
Wellshire,7122010
Wellshire,062010
Wellshire,7122009
Wellshire,062009
Wellshire,7122008
Wellshire,062008
Wellshire,7122007
Wellshire,062007
Wellshire,7122006
Wellshire,062006
Wellshire,7122005
Wellshire,062005
"West Colfax",712
"West Colfax",06
"West Colfax",7122010
"West Colfax",062010
"West Colfax",7122009
"West Colfax",062009
"West Colfax",7122008
"West Colfax",062008
"West Colfax",7122007
"West Colfax",062007
"West Colfax",7122006
"West Colfax",062006
"West Colfax",7122005
"West Colfax",062005
"West Highland",712
"West Highland",06
"West Highland",7122010
"West Highland",062010
"West Highland",7122009
"West Highland",062009
"West Highland",7122008
"West Highland",062008
"West Highland",7122007
"West Highland",062007
"West Highland",7122006
"West Highland",062006
"West Highland",7122005
"West Highland",062005
Westwood,712
Westwood,06
Westwood,7122010
Westwood,062010
Westwood,7122009
Westwood,062009
Westwood,7122008
Westwood,062008
Westwood,7122007
Westwood,062007
Westwood,7122006
Westwood,062006
Westwood,7122005
Westwood,062005
Whittier,712
Whittier,06
Whittier,7122010
Whittier,062010
Whittier,7122009
Whittier,062009
Whittier,7122008
Whittier,062008
Whittier,7122007
Whittier,062007
Whittier,7122006
Whittier,062006
Whittier,7122005
Whittier,062005
Windsor,712
Windsor,06
Windsor,7122010
Windsor,062010
Windsor,7122009
Windsor,062009
Windsor,7122008
Windsor,062008
Windsor,7122007
Windsor,062007
Windsor,7122006
Windsor,062006
Windsor,7122005
Windsor,062005
